preprocessedSmiles;Molecule ChEMBL ID;y_true_label
COC1CN(c2cccc(-c3cc(NC(C)=O)nc(-n4nc(C)cc4C)n3)n2)C1;CHEMBL487554;1
COc1ccc(CCNc2nc(N)c(C(=O)N=C(N)N)nc2Cl)cc1;CHEMBL3819313;0
COc1ccc2[nH]c(-c3ccc(-c4ccc(OC5CCC(CC(=O)O)CC5)nc4)nc3)nc2n1;CHEMBL4453213;0
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12;CHEMBL16687;1
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1OC;CHEMBL69794;1
Cc1[nH]c2nc(-c3ccccc3)nc(NC3CCC(O)CC3)c2c1C;CHEMBL78595;0
Nc1nc(NC2CCNCC2)nc2nc(-c3ccco3)nn12;CHEMBL3394268;0
CCCN(CCCCCCNc1nc(N)n2nc(-c3ccco3)nc2n1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394266;0
CCCN(CCCNC(=O)CCCC(=O)Oc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394253;1
Nc1nc(NCc2cccs2)nc2sc(-c3cccs3)nc12;CHEMBL4168016;1
COc1ccc(N2CCN(CCn3c(=O)cnc4c(-c5ccc(C)o5)nc(N)nc43)CC2C)cc1;CHEMBL5082528;1
CCC(=O)NC1CC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4cn(CC)cn4)nc32)C(O)C1O;CHEMBL591356;1
CCC(=O)NC1CC(n2cnc3c(NC(CC)CC)nc(NCCc4cn(C(C)C)cn4)nc32)C(O)C1O;CHEMBL592540;1
CCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12;CHEMBL123465;1
CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12;CHEMBL122512;1
Cc1ccc(C(=O)c2nc(NCc3cccnc3)nc3ccsc23)s1;CHEMBL1078349;1
Cc1ccc(C(=O)c2nc(N(C)Cc3cccnc3)nc3ccsc23)s1;CHEMBL1078087;0
Cc1ccc(C(=O)c2nc(NC(C)c3cccnc3)nc3ccsc23)s1;CHEMBL1079115;1
O=C(c1cccs1)c1nc(NCc2cccnc2)nc2ccsc12;CHEMBL1079118;1
CCCCC#Cc1nc(N)c2ncn(C3CC(NC(=O)CC)C(O)C3O)c2n1;CHEMBL591999;1
CCCCc1nc2[nH]cnc2c2nc(-c3cc(OC)c(OC)c(OC)c3)nn12;CHEMBL333535;0
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NCCN4CCc5ccccc5C4)nc32)C(O)C1O;CHEMBL1096890;1
CC(=O)Nc1cc(-c2cccc(N3CCOCC3)n2)nc(-n2nc(C)cc2C)n1;CHEMBL520229;1
